,mean,median,std,min,max,alt program,reference,comparison
median active leaks,1468.6666666666679,1446.0,-23.730584194871312,1500.5,1459.5,P_none,P_OGI,difference (alt-ref)
median daily emissions,69.34333212497332,69.75821186902753,-0.33045143468207183,69.4832191323382,68.78856537355418,P_none,P_OGI,difference (alt-ref)
cumulative repaired leaks,-1428.5,-1441.5,10.32543494111684,-1431.5,-1412.5,P_none,P_OGI,difference (alt-ref)
median active leaks,1.0865942100194572,1.08510888758093,0.7540453879510223,1.0890372348316273,1.0856589488511312,P_none,P_OGI,ratio (alt/ref)
median daily emissions,1.7931562504371361,1.7993868438755614,0.7502588125859532,1.806138907909988,1.7744369816926646,P_none,P_OGI,ratio (alt/ref)
cumulative repaired leaks,0.8636732356730448,0.8623537837192647,1.0755894634906753,0.8616239729337845,0.8669711810133736,P_none,P_OGI,ratio (alt/ref)
median active leaks,21.16666666666788,39.5,8.129983639389451,9.0,15.0,P_OGI_bayes,P_OGI,difference (alt-ref)
median daily emissions,22.03794662001144,21.8905077033138,1.1348087840080128,20.984051637587143,23.23928051913346,P_OGI_bayes,P_OGI,difference (alt-ref)
cumulative repaired leaks,-16.66666666666606,-48.0,15.380025782680775,-13.0,11.0,P_OGI_bayes,P_OGI,difference (alt-ref)
median active leaks,1.0012480100626955,1.0023248969982343,1.0842628632978504,1.0005340453938585,1.000880359186548,P_OGI_bayes,P_OGI,ratio (alt/ref)
median daily emissions,1.252072327256494,1.2508519555610225,1.8576403775602297,1.2434553361500544,1.261632993277484,P_OGI_bayes,P_OGI,ratio (alt/ref)
cumulative repaired leaks,0.9984094415549299,0.995416567199809,1.1125926320794624,0.9987433542774287,1.0010359766434356,P_OGI_bayes,P_OGI,ratio (alt/ref)
median active leaks,-3.5,14.0,-13.486101083702124,8.5,-33.0,P_OGI_bayes_l,P_OGI,difference (alt-ref)
median daily emissions,34.08329040767828,34.071339884231705,-0.6562090547511489,34.755298004917975,33.42323333388518,P_OGI_bayes_l,P_OGI,difference (alt-ref)
cumulative repaired leaks,9.33333333333394,6.0,-0.35888095407605647,11.5,10.5,P_OGI_bayes_l,P_OGI,difference (alt-ref)
median active leaks,0.9997936361313653,1.0008240141259563,0.8602238894391769,1.0005043762053107,0.9980632097895942,P_OGI_bayes_l,P_OGI,ratio (alt/ref)
median daily emissions,1.3898482232378664,1.3904369123997042,0.5040650112986409,1.4032282661574482,1.3762862010704893,P_OGI_bayes_l,P_OGI,ratio (alt/ref)
cumulative repaired leaks,1.0008907127292392,1.0005729291000238,0.9973727383950088,1.0011116481391977,1.0009888867960068,P_OGI_bayes_l,P_OGI,ratio (alt/ref)
median active leaks,16.33333333333576,22.5,-0.574345709143401,15.5,11.0,P_OGI_bayes_u,P_OGI,difference (alt-ref)
median daily emissions,21.00706486854868,21.414931620050652,0.04615315564520661,20.766077719697506,20.8401852658979,P_OGI_bayes_u,P_OGI,difference (alt-ref)
cumulative repaired leaks,-23.0,-37.5,-3.162550897890327,-11.5,-20.0,P_OGI_bayes_u,P_OGI,difference (alt-ref)
median active leaks,1.000963031386962,1.0013243084167158,0.9940472187741215,1.0009197448449785,1.000645596736802,P_OGI_bayes_u,P_OGI,ratio (alt/ref)
median daily emissions,1.2402809944840703,1.2454021417823062,1.0348805987325451,1.2409264196963459,1.234623444864613,P_OGI_bayes_u,P_OGI,ratio (alt/ref)
cumulative repaired leaks,0.9978050293458033,0.9964191931248508,0.9768478977402161,0.9988883518608023,0.9981164061028442,P_OGI_bayes_u,P_OGI,ratio (alt/ref)
median active leaks,-8.33333333333212,4.0,36.584060961373325,-49.5,20.5,P_OGI_QE,P_OGI,difference (alt-ref)
median daily emissions,22.60518769068446,22.706645000719845,1.086460371847822,21.461078868576223,23.64783920275734,P_OGI_QE,P_OGI,difference (alt-ref)
cumulative repaired leaks,3.1666666666660603,-40.5,52.361668502852865,-22.5,72.5,P_OGI_QE,P_OGI,difference (alt-ref)
median active leaks,0.9995086574556319,1.000235432607416,1.3791739152749298,0.9970627503337783,1.0012031575549492,P_OGI_QE,P_OGI,ratio (alt/ref)
median daily emissions,1.258560489664065,1.2602043945192838,1.8211006970044872,1.2489897690078708,1.2662326378851565,P_OGI_QE,P_OGI,ratio (alt/ref)
cumulative repaired leaks,1.0003022061045632,0.9961327285748388,1.3833243298881437,0.9978250362493959,1.0068280278771897,P_OGI_QE,P_OGI,ratio (alt/ref)
